repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,2e98ce497a043272cf8536a8cd2a69ad9e953ae8,2025-08-17T10:44:26-07:00,Dominik Stiller,Remove mentions of relative font sizes,69,Style file loaded via package resources
matplotlib,lib/matplotlib/figure.py,lib/matplotlib/tests/test_pickle.py,subprocess (subprocess_run_helper),0e078a7af0a08c3d9a0ca381b33816e69e21aa00,2025-08-01T12:26:31+02:00,Tim Hoffmann,Update lib/matplotlib/figure.py,1087,Figure pickle format used in subprocess test
matplotlib,lib/matplotlib/figure.py,lib/matplotlib/tests/test_pickle.py,subprocess (subprocess_run_helper),db30cbe4a1c45c05d295e57d8aac287fede7d75b,2025-07-31T16:34:09-04:00,Thomas A Caswell,MNT: restore the old DPI when resetting the canvas,1087,Figure pickle format used in subprocess test
matplotlib,lib/matplotlib/figure.py,lib/matplotlib/tests/test_pickle.py,subprocess (subprocess_run_helper),a38f9bb624f59cc01320840a5a53b6ab32e72867,2025-07-27T23:32:44+02:00,Tim Hoffmann,Fix: properly decouple from pyplot and specific backends when destroying,1087,Figure pickle format used in subprocess test
matplotlib,lib/matplotlib/figure.py,lib/matplotlib/tests/test_pickle.py,subprocess (subprocess_run_helper),4af03f44b6be8dce3651d7a93a593e110998dbe1,2025-05-26T20:16:00+02:00,Trygve Magnus Ræder,Update to docs with regards to colorbar and colorizer,1087,Figure pickle format used in subprocess test
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,46255ae65bf61d0defae7729ec826189c7016189,2025-05-23T14:08:57+02:00,Antony Lee,Use fix-cm instead of type1cm.,69,Style file loaded via package resources
matplotlib,lib/matplotlib/tests/data/test_inline_01.ipynb,lib/matplotlib/tests/test_backend_inline.py,subprocess (jupyter nbconvert),9e7106b3a843b9268fab227ed20103037f57ff6f,2025-05-17T05:14:49-04:00,Elliott Sales de Andrade,Move test data into a single subdirectory,1,Jupyter notebook executed in subprocess
matplotlib,lib/matplotlib/tests/data/test_nbagg_01.ipynb,lib/matplotlib/tests/test_backend_nbagg.py,subprocess (jupyter nbconvert),9e7106b3a843b9268fab227ed20103037f57ff6f,2025-05-17T05:14:49-04:00,Elliott Sales de Andrade,Move test data into a single subdirectory,1,Jupyter notebook executed in subprocess
matplotlib,lib/matplotlib/tests/data/mpltest.ttf,lib/matplotlib/tests/test_mathtext.py,font loading (C library),9e7106b3a843b9268fab227ed20103037f57ff6f,2025-05-17T05:14:49-04:00,Elliott Sales de Andrade,Move test data into a single subdirectory,1,Test font file loaded by FreeType
matplotlib,lib/matplotlib/tests/data/cmr10.pfb,lib/matplotlib/tests/test_type1font.py,font loading (C library),9e7106b3a843b9268fab227ed20103037f57ff6f,2025-05-17T05:14:49-04:00,Elliott Sales de Andrade,Move test data into a single subdirectory,1,Type1 font file loaded by FreeType
