repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),95eaf4cdc154ed0ec7e480d3dbe49b887a170702,2026-01-23T17:53:40-08:00,Ruifeng Zheng,DOC: Remove `@Substitution` from `pandas/core/frame.py` (#63839),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),79f04becc6344766ef08b46f1f0ee2411e01616d,2026-01-23T10:37:27-08:00,Ruifeng Zheng,DOC: Remove `@ Appender` from `pandas/core/frame.py` (#63821),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),d577190a80005bbec3e35a029b366e62d68e1a1a,2026-01-22T11:26:35-08:00,Ruifeng Zheng,DOC: Inline `@Appender(ops.make_flex_doc(...))` in `pandas/core/frame.py` (#63771),3324,DataFrame pickle tested in subprocess
pandas,pandas/tests/io/data/legacy_pickle/1.5.3/1.5.3_x86_64_linux_3.11.9.pickle,pandas/tests/io/test_pickle.py,pickle (C deserialization),fd2a4f41fa453d74de6a7e031f4fcdcafa506c1b,2026-01-21T14:06:10+01:00,Joris Van den Bossche,TST: assert reading of legacy pickles against current data (#61792),1,Legacy pickle file for compatibility testing
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),9512e990ffbaf35208dc5d4693c70d3ebb64baea,2026-01-21T11:22:31+01:00,Joris Van den Bossche,CoW: better chained assignment warning message for update() method (#63500),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),7cff0f4fdef81094588f4f0b23246a9f6b33a47a,2026-01-21T02:18:40-08:00,jbrockmendel,API: Period.to_timestamp default to microsecond unit (#63760),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),18aeb252dfd2a7c35038c65e949e5a6a8896f2b5,2026-01-20T10:11:31-08:00,Ruifeng Zheng,DOC: Inline `@doc` in `pandas/core/frame.py` (#63766),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),d51494eeae96b4118057153c70555c31731605f0,2026-01-20T05:45:04+11:00,aydinkhan2005,DOC: Added inline docstrings for functions in pandas/core/series.py (#63625),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),501c5052ca637a7f215a84403588c2cff9a4ed56,2026-01-17T13:29:58-05:00,Thierry Moisan,CLN: Enable ruff rule RUF005 (collection-literal-concatenation) (#63698),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),3332464535ffb937e52e7cf8be72b2a8836b644a,2026-01-13T16:31:55-05:00,Thierry Moisan,CLN: Enable ruff rule PLR1714 (repeated-equality-comparison) (#63661),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),0fdff89ba6205e2f97029d532738f972f05f7a5f,2026-01-09T09:56:35-08:00,Ruifeng Zheng,DOC: Inline docstrings for functions `DataFrame.{to_stata/to_parquet/to_xml}` (#63618),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),47797eaf2303a1bd97e73823519d474df5caf178,2026-01-09T09:55:23-08:00,Ruifeng Zheng,DOC: Inline `@doc(make_doc(...))` in `pandas/core/frame.py` (#63619),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),807e6bb77b0e1a06a1f5f36b2ad97aa02b3ea7a6,2026-01-05T22:58:48+05:30,Tuhin Sharma,"DOC: Fix SA01,EX01 for pandas.DataFrame.from_arrow (#63541)",3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),952a5c0dde5c611e61ecea35578d0247744980a2,2026-01-05T13:39:19-05:00,Thierry Moisan,CLN: Replace else-if with elif in pandas/core (PLR5501) (#63546),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),e5c6124a1c128fbae7b3fedaff1522dea6e104e3,2025-12-31T12:46:51-05:00,Richard Shadrach,DOC: Run all doctests (#62988),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),bdacbc5ca21430a3b27c24dc0142bf188ab9d959,2025-12-31T05:18:29+05:30,PRANAV,DOC: Warn about dtype inference with raw=True in DataFrame.apply (#62384),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),186c0815bf18edad20cc6b41388852c20a0352c1,2025-12-22T14:11:15-05:00,Richard Shadrach,ENH: More usage of maybe_unbox_numpy_scalars (#63431),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),554f9c61deef5d32dd07b6274bac9838d0f308c8,2025-12-22T13:51:00-05:00,Richard Shadrach,BUG: Allow empty interesection in DataFrame.update (#63452),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),39ac242cb93bcdcfedc7636e15bffe69f9a5d115,2025-12-20T02:11:12+08:00,张博闻,Replacing some of @Appender in pandas/pandas/core/frame.py. (#63384),3324,DataFrame pickle tested in subprocess
